,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,FROM
Communication Services,24.61,10.1,5.01,3.06,9.65,6.9,8.8,16.21,7.67,4.77,3.23,75.39
Consumer Discretionary,9.56,23.23,4.27,4.4,10.77,5.9,10.82,11.97,9.36,6.28,3.44,76.77
Consumer Staples,4.56,4.26,23.3,2.74,8.93,11.9,8.77,6.47,8.81,9.08,11.16,76.7
Energy,3.36,5.34,3.61,28.32,12.89,5.95,12.94,4.49,11.4,6.83,4.86,71.68
Financials,6.29,7.53,6.38,7.47,16.55,8.51,13.19,7.84,11.77,8.36,6.11,83.45
Health Care,5.39,5.08,10.3,4.03,10.29,20.46,10.06,7.78,9.61,8.63,8.37,79.54
Industrials,5.73,7.51,6.39,7.38,13.12,8.35,16.16,7.89,12.33,8.45,6.68,83.84
Information Technology,13.47,10.46,5.94,3.42,10.03,8.19,10.04,20.52,8.41,5.31,4.22,79.48
Materials,5.36,7.02,6.61,7.05,12.58,8.41,13.25,7.06,17.42,8.78,6.47,82.58
Real Estate,3.79,5.53,8.2,4.89,10.52,8.96,10.64,5.12,10.35,20.66,11.35,79.34
Utilities,3.04,3.54,11.39,3.8,8.73,9.95,9.49,4.64,8.78,12.95,23.7,76.3
TO,60.55,66.38,68.09,48.23,107.5,83.02,108.01,79.47,98.5,79.44,65.89,
NET,-14.85,-10.4,-8.61,-23.44,24.06,3.48,24.17,-0.01,15.91,0.1,-10.41,78.64
